d1914a1 d1914a2 2I1M18P2I10P2D1P7I18P1D10P1I1P1D5P1I3P4M3D1I
d1a04a2 d3i42a_ 26P1D3P1D29P1M14P2I12P1D1M1P1M5P1D10P1D10P1M2P17D
d1a04a2 d3khta_ 1P1D58P1M11P1M1P1I1P1I31P5I17P1M14D2I
d1a04a2 d3ktoa_ 2D23P1D4P1D12P1D1M3P1I11P1I2P1I57P1D4P15D2I
d1a04a2 d3n53a_ 1D24P2D3P1D27P5D1P1D9P1I2P1I9P1D1P1M1P1M1D3P2D23P1D3P1M14D6I
d1a04a2 d3q15c_ 2D24P1D3P1D29P1M24P1M34P18D
d1a04a2 d3t6ka_ 2M24P1D3P1D29P1M12P1I2P1I9P1M35P1D2P15D
d1a0ca_ d1d8wa_ 12D2I5M12D13I1M2P2M5P1D13P1M7D3I5P1D2P7D10P1M2P2M1P1M1I1M11P5M1P1M1D1M1P1M1D3M16P1D12P1I31P5I10P1D6P1D20P1D1P4M13P1I2P1I6P1D7P1M2D2P2D11P1D1P1M15P2M9P2D1P1D27P1M9P1M1P1D2P3D1M2P1D19P1M4P1D7P36D1M1P1D2M11P36I
d1a0ca_ d1muwa_ 13D1P10D4P9D2P1D11P1D12P1D1P2D1M10D1M28P4D1P2M186P1D11P2I1M16P2D13P1D29P1M1I1P1M1I1M2P2M2P1M1P3M3D2M1D6P3M1P4M7P1I2P1I16P1I1P1I1P
d1a0ia2 d1fvia2 2D2M11P2M2P1D2P4D17P6D13P2M2P1M1D1I1M1D2M2D1M10D1M24P17D1P2D1P2D11P1M1D1M6D18P1M2P1M1I1M1P1M1I47P4I6P1I
d1a0ia2 d1x9na3 1M2I1M11P2M1I2M3P1M4P1D33P1I3P4M1D5M2D1I2M1D2P1D1P2D1P1D12P5I1M9P1M2P2M3D1M2P9D1M1D1P1M1D1M11P1M1I3M4D1M17P2D1M3D3M37P2I5P1M1I1M8P7I
d1a0pa2 d1ae9a_ 1I16P1M1D1M1D2P1D28P1D1M1P1D6P1M1I3M6P1I2P6I11P1D3P7D1M30P2M2I1M17P1D1P2D1P2D1P3D1P6D2M3P3M1D11I1M3P3D
d1a0tp_ d2mpra_ 2D22P1M2D5P2D1P1D47P2D15P1D3P2D13P1D27P1D15P4M9I1M14P1I2P5I13P1M1D1I3M5D1M1D1M18P4D17P1I3P1M2P2M2P1M15I1P1M32P1M2D37P6D2M18P2D21P1D4P2I1M1I1M1D6I1M4I5M1P1M14P
d1a0tp_ d2zfga_ 8I12P4M5D3M3D1M1P1M1D1P4D2M4D2M33P1D1P1D2P1M4P1I13P7D12P1M2I1P1I1M1P2I8P1I1M1P6I4P1I7P1M2P2I1M1P1I10P1M1P1M2P1M1D1M2D3M12P4I14P2M1P7D2P2M16P4D1M14P1D2P1M6D7I1M2P1M2D13P5M14P1M6P1M8P5M1D1I6M8P4M1D1M2D1P2D2M1D1M2P3M21D1M34D1M5P
d1a12a_ d1jtdb_ 11D10P1I8P2M11D1M2P1M17P1D17P1M12D2M19P1D10P5D5P1M8D4M1P1M17P1D17P22D1M1D1P2M5D1M17P1D16P12D1P1M2P1M1P2D17P1D17P12D1M3P1I1M16P1D10P4D1P1D1P11D3P1D2P1M1D18P5D
d1a17a_ d1elra_ 6D69P5I1P1I1P1I31P1M1D17P2D1P29D
d1a17a_ d1elwa_ 7D117P35D
d1a17a_ d1ihga1 17I2M39P14I1P2I92P2D2P21D
d1a17a_ d1p5qa1 4I1M2P1D37P13I1P2I92P7M1D1P10M6D
d1a17a_ d2c2la1 5D1M1D1M99P1I1P1M1I1M1I1M1I2P1I20P2D2P2D2P2M1I1M1P2M12D58I
d1a17a_ d2fbna1 1D8I1M38P1M14I1P2I87P2D1P27D
d1a17a_ d2hr2a1 2D1I2M34P1I1P1M9I1M1P1I1P1I32P2I1P9I33P2M6I1M1P1I2M12P32D
d1a1ia1 d1llmc2 1I7P2D16P1I3P1D
d1a1ia1 d1srka_ 5I7P2D20P3I
d1a1ia1 d1tf3a1 1I29P1I
d1a1ia1 d1tf3a3 25P1I4P1I
d1a1ia1 d1ubdc1 1D28P
d1a1ia1 d1x5wa1 7P2D18P1D1P2I
d1a1ia1 d1x6ha2 6I7P2D16P1I2P1D1P3I
d1a1ia1 d1xrza_ 1I1P1D5P2D16P1I3P1M2I
d1a1ia1 d1znfa_ 2D5P2D19P1M
d1a1ia1 d2dlka1 2D23P1I4P2I
d1a1ia1 d2dlka2 1D28P8I
d1a1ia1 d2dlqa1 7P2D16P1I2P2D
d1a1ia1 d2dlqa2 1D6P2D16P1I2P2D3I
d1a1ia1 d2dlqa4 2D5P2D20P2I
d1a1ia1 d2dmda1 1I6P1D1P1D19P1M
d1a1ia1 d2drpa2 1D6P2D16P1I3P1D
d1a1ia1 d2glia1 1D1M23P1I4P3I
d1a1ia1 d2glia2 1D1I9P2I1P1I18P1I
d1a1ia1 d2j7ja1 1D28P
d1a1va1 d1fuka_ 7D8P1I4P1I1P2M3P1M2P2M1D24P1D12P4I1P1I1M1P2I1P4I15P3D13P1D2P1D1P2D8P2D1P2D11P1I1P1I1P26I
d1a1va1 d1hv8a2 6D2I1M12P2I3P1D5P1D2P1D23P1D12P4I1P1I1M1P2I1P4I15P3D13P1D2P1D1M2D9P1M3P1M1I2M8P2I2P18I
d1a1va1 d1t5ia_ 6D1M12P1I1P2M3P1M2P2M1D24P1D12P4I1P2I1P2I1P1M3I9P2D1P1D3P2M2P1M10P1M2P4D10P1I1P1M13P3I1P22I
d1a1va1 d1yksa1 2M3P1D10P1I1P1I2P2I35P3D9P4M1I2M1P1I15P1M1D3I33P1M2P1D9P1I
d1a1va1 d3sxua_ 7D8P1I2P7I1P1M1I37P3I8P4D4P2I11P3D1P1D1M2D10P1D1P1D1P5D1P2D5P1D2P4D9P4I2P23I
d1a1va2 d1yksa2 6P1M1P2I9P4M2P1M2D1I1M1P1M5P1D34P1M2P3D1P2D9P1I2P1I1P1I19P1D1P1M2D1M7P1I18P2I2P1I7P1D4P1D2M2P1M10P2M1D2P1M2D1I3M1D3P2D1P1M1D1M1D3M2P1M3P1M1D1M1P1D3M1D3M1P5M1P1M8P1I1M2P2M1P1I2M1P5M1P1M2P1I1M4I4M4D7I3M1P1M2P4M1P1M1P1D4P3M18D17I
d1a2oa1 d1ccwa_ 10P3I1P1I16P1D7P2I23P1M1I1P1M1I1M10P1M2P1I1P1I8P1M3I2P3M18P2D1M7D14P8D2I
d1a2oa1 d1dbwa_ 2M25P1D3P1D17P1M23P1I13P2D20P2D1M7D15P2M5D
d1a2oa1 d1dcfa_ 4I1M25P2D18P1D1M11P1M1D1I1M13P5I10P1M2D2M17P3D1P4D1M2D14P2M2D1I1M3D2I
d1a2oa1 d1dz3a_ 2D73P2I11P2D13P1D6P1D1P1D1P1D1M2P2M22D11I
d1a2oa1 d1e5da1 2D1I1M8P3I1P2I15P1D3P1D5P1M1I9P1M1I10P5I1M5P1D12P1I1P1I6P1M2I15P1I3P2I5P1I4P1M16P2M1I1P1M7D2I
d1a2oa1 d1eucb1 2D17I2M23P1D7P1I1P7I2P1I19P1M1I1M1I1P1M2I1M11P1I11P1D2M12P1I8P11D2P1D10P1M8D
d1a2oa1 d1f4pa_ 3D8P3I1M2I1M13P2D9P2M1P1M1P1I2M2P2D10P9I5P1I8P2M1D11P1I1P1I1P1I13P1M5I1P2I12P1D14P1D1P9D
d1a2oa1 d1j56a_ 2M25P1D3P1D25P1D4P1I14P1I7P5D3P1M1D7P4I8P1D1M1P4D1M1P2M10P1D2P1M7D
d1a2oa1 d1jbea_ 1I1M26P1D45P1I1M12P2D19P3D1P4D1M2D16P1M5D1I
d1a2oa1 d1k66a_ 1I1M2P2I24P1M17P1I1P9I13P1M14P1I1P1I1P1I8P1M1P1D1P1D19P2D2P2M14P3M1P2M6D3I
d1a2oa1 d1k68a_ 1M1D26P1M16P1I1P6I13P1M14P1I1P1I1P1I8P1M1P1D1P1D19P1D3P1D1M14P3M1P2M6D1I
d1a2oa1 d1kgsa2 2D25P1D3P1D13P1I2P1D27P1I10P1M1D2M2P1M1D3I1M2P2D1P1D8P2D1M7D16P1M5D1I
d1a2oa1 d1mb3a_ 2D25P1D3P1D43P2I1P1I7P6D1P2D16P2D1M7D13P2M7D2I
d1a2oa1 d1ny5a1 3D24P2D47P1I10P2D19P2D2P3D2P1D15P1M1P1M5D14I
d1a2oa1 d1oi7a2 1D21I3M23P1D7P1I1P8I2P1I9P1M10P1M1P2M22P1M1P1D2I14P1D5P11D2P1D11P8D
d1a2oa1 d1p2fa2 1D1M22P1D1P2D16P1D2P1D28P1I9P2M2D1M18P2D1P7D13P1I2P2M5D
d1a2oa1 d1p6qa_ 2D4I1M1I24P1D28P1D3P1M3P1I11P2I11P2D1M1P1I2M7P1I8P3D1P4D15P1D2M7D
d1a2oa1 d1qkka_ 3D24P1D3P1D14P1D1I1M28P1I10P2D20P2D1M7D15P1M1I2M4D17I
d1a2oa1 d1r8ja2 1I1P1M23P1D1M1D17P1I2P1M1I12P2D13P1I9P4D1P2D1P1I3P1D4P1I1M6P3D1P6D1M3P1D10P1I1P2I6P1M1I
d1a2oa1 d1rlja_ 3I1M3I10P1I2P1M6P1D3P5D6P2D3P1D2P1M2P2D1P1D8P2M4I1M11P2D10P1I1P1I1P1I14P1I11P4D19P4M2D
d1a2oa1 d1u0sy_ 2D25P1D48P1I10P2D19P2D2P7D13P9D
d1a2oa1 d1vmea1 2D2I10P5I15P1D3P1D5P4I1M2P1M5P2M1I10P5I1M4P1D13P1I1P1I10P2M2I2P1I11P1I7P1D15P1M2P1D1P1M8D
d1a2oa1 d1wb1a4 2I10P1I1P2I1P1I9P1I1P3I1M3P1I10P1M11P2I10P2I1M1I2M11P1D10P2I1P4I1M2I13P1I1P2I1P1M1I7P1D3P1M1P3D1M2P1D10P1I2P1M6D2I
d1a2oa1 d1yl7a1 4D6P1M26P1D1M19P1M1P2D11P1D10P4D3P1I2M1P2M2P1I2P6I1M5P1M3D1M4D2P1D12P1D2P2M1D2M2D11I
d1a2oa1 d1zgza1 2D25P1D3P1D52P1M1P1D1P1D18P2D1P1M7D15P2M5D
d1a2oa1 d2ayxa1 5I2M25P1D3P1D25P1I6P1D12P1I9P3D10P1I9P3D1P4D1M2D13P1I1P1M1I2M5D3I
d1a2oa1 d2b4aa1 1M1D25P1D3P1D15P1M1I30P1I6P4D2P3D2P1D2P1M1P1I8P2D1P3D2P1D11P2D2M8D
d1a2oa1 d2jbaa_ 2D25P1D3P1D27P1M15P2I1P1I16P1M2P2D10P3D1P6D1M16P1D2P1M2D
d1a2oa1 d2pl1a_ 3D24P2D47P1I8P1M2P2D19P2D1M7D13P1I2P1M6D1I
d1a2oa1 d2plna_ 2P1I25P1D3P1D25P1D1P3D14P1I8P3D3P1I18P2D1M6D1M14P8D
d1a2oa1 d2r25b_ 1D1M25P1D20P5I26P1I2P1I11P2D18P3D1P4D1M2D14P8D7I
d1a2oa1 d2v0na1 2D25P1D3P1D43P2I1P1I11P2D18P3D1P6D1M15P1M1D2I1M4D14I
d1a2oa1 d2v0na2 9I1M1I24P1D1P1D3P1D15P1D26P2I2P1I11P2D19P2D1P7D15P1M1I2M4D18I
d1a2oa1 d3a0ua_ 2D25P1D3P1D44P1I8P4D7P1I3P1D8P3D1P4D1P2D13P9D
d1a2oa1 d3bula2 3I10P3I1P1I16P1D8P1I1P1I21P1M1I1P1M1I1M14P1I8P1D1M1D1M6P1I6P2I6P12D14P3I1P1M1D2I2M2I1M2D12I
d1a2oa1 d3c3ma_ 1D26P1D3P1D43P2I1P1I9P3D1M2P1I2M1P2M2P1M8P1M1D2P2M27D13I
d1a2oa1 d3cfya_ 1D1M24P1D4P1D44P1I8P1D1P2D2P1I18P2D1M7D15P2M1I1M4D6I
d1a2oa1 d3cg4a_ 1D26P1D3P1D40P1M1I3P2I8P1D1P1D2P1M1P1M2D2I3M11P2D1M7D15P1M2D2I1M3D
d1a2oa1 d3eqza_ 2D1M23P2D15P1D2P1D2M1I1M24P1M9P2I1M14P1I7P1D4P2D1P1D10P1D2P1M11D2I
d1a2oa1 d3gl9a_ 2D25P1D3P1D42P2I2P1I11P2D19P2D1P7D13P1M8D
d1a2oa1 d3hdga_ 2D24P2D48P1I8P1D1M2P1D19P2D1M7D13P1I1P1M7D4I
d1a2oa1 d3hdva_ 2D25P1D3P1D17P1I26P1I1P1I8P1D1M1D20P3D1P4D1M2D14P8D
d1a2oa1 d3heba_ 3D42P1I1M6I2M2I1P1M24P1I1P1I1P1I11P2D19P1D3P1D1M2P1M11P1M1D2P4M4D2I
d1a2oa1 d3i42a_ 1M1D25P1D3P1D43P3I10P1D1M4P2D5P1D8P3D1P4D1M2D11P1D2P8D
d1a2oa1 d3khta_ 2D59P1M13P2I1P1I11P2D19P1D1P1D4P1I13P2M2P1M7D1I
d1a2oa1 d3ktoa_ 3D23P1D4P1D12P1M2P1M11P1I2P1I1M12P1I10P1D1M2P1D19P2D1M7D13P1I1P1M7D1I
d1a2oa1 d3n53a_ 2D24P2D3P1D27P5D1P1D9P1I1P2I8P1D1P1D1M1D2P1M1D3P1D2P1D8P2D1M7D15P1M6D6I
d1a2oa1 d3q15c_ 3D24P1D3P1D44P1I8P1D1P1M1P1D19P2D1M7D13P9D
d1a2oa1 d3q72a_ 1M1D11P1M11P5I2P8I8P14D9P2I1M1I1P1M1I1M21P1M1I1M5I1M1I15P1D5P2D3P2D2P1D1M16P1M5D
d1a2oa1 d3t6ka_ 1D1M25P1D3P1D43P2I1P1I10P2D19P3D1P4D1M2D15P7D
d1a2oa1 d5nula_ 5D6P1M2I1M2I1M1P1I12P1D3P1D5P2M7P2D10P7I1P1M3P1D12P1I11P2M11P1M5I1P2I10P1D12P1D1P2M1D1P9D
d1a34a_ d1stma_ 17D1M1D1M2D1M25P1D1P2D1P2M4P1I11P1M1D2P3D11P1I2P1M2P1M1I1P1M5P2D19P3I1P1I10P8I1P1I13P7I
d1a3aa_ d1a6ja_ 1I1M2P2I30P3M1P1I27P2D3P1M19P2M14P2I2P1I36P1M1D1I
d1a3aa_ d3bjva_ 2P3I3P1I1M42P1I3P1I16P2D18P1M2P2D14P1I4P1I32P1I2P4I1P2I
d1a3aa_ d3lf6a_ 2I1P2I55P3I8P3D21P5I1M1P1M1D14P1I34P1M3P1M
d1a3aa_ d3urra_ 3I3P2I30P1M3P1I27P3D21P3M14P1I1P1M2I1M33P1I3P1M
d1a3ca_ d1fsga_ 44I1M26P3I26P8I12P1M3I2M9P3M29P1D16P1I16P3D7P1M1D5I1M9P2M8I
d1a3ca_ d1hgxa_ 3I1M26P3I22P4D11P5D9P1D29P1M1D16P2I14P1D2P2D7P1M1D5I1M9P1M1P
d1a3ca_ d1l1qa_ 2D8I1M2P17I1M1P2I1P1I18P1M22P6D8P12I1M1P4M8P2M34P1I12P1I3P2I3P3I2M8P1M24D
d1a3ca_ d1nula_ 1M3P1D19P2M2P1I21P5D11P5D7P1M3D1P2M12P1M10P1M6D13P2D1M13P2D7P3D1P1M1P1M7D9I
d1a3ca_ d1tc1a_ 3I27P10I25P1D1M12P4D8P1D29P1M1D15P1I17P3D7P1M1D5I1M10P1M1I
d1a3ca_ d1vcha1 6P4I1P21I1M1I2M12P2D2P1M1I21P6D9P1M1D11I3M1P1D6P1I1M1P1M34P1D13P2D5P1D5P1D2P2D1P20D
d1a3ca_ d1vdma1 26P1M22P5D13P2D5I9P1D1M29P1D17P1D1P1D10P1D1P3D7P3D1P1M9D7I
d1a3ca_ d2jbha_ 32I1M26P3I26P5I11P7D7P2M1I29P1D16P2M14P3D7P1M1D5I1M9P2M8I
d1a3ca_ d3o7ma_ 3I1M26P3I22P4D13P1D1P1D10P1D29P1D15P1I17P3D7P1M1D5I1M10P1M
d1a3wa3 d1e0ta3 11D69P1D1M1P3D1P2D31P1D1M1P1M1I10P
d1a3wa3 d1pkla3 7I81P1I1M1P2M2P2D29P1D1P6D8P1I
d1a3wa3 d2g50a3 119P2M13P1I
d1a4ia1 d1edza1 19D17P9I36P23I2P1I1P1I17P1I21P4D4P1D12P3D23P3I
d1a4ia1 d1gpja2 14D1M3D2I2M29P1D14P1I9P15I1P1I3P1I14P1I10P2I2P7I10P4D7P1M8P4D9P2M1P4M1D2M4D
d1a4ia1 d1l7da1 21D12P1I5P10I11P1D21P1M15I1P3I2P2I16P5I10P2I3P1I8P1M2D7P1M1D5I1M9P3D1P1D6P15D
d1a4ia1 d1li4a1 2M16D1M13P1I17P1D21P1M13I2M27P2I1P1I11P3D9P1M15I1P6I9P1M4P2M1D2P14D
d1a4ia1 d1luaa1 1M17D1M16P1I11P1I3P1D22P22I2P4I16P1I11P2I2P1I11P2D7P1D7I1M2P1D7P1D22P2M15I
d1a4ia1 d1pjca1 21D12P1I1P6I1P1I3P6I10P1D22P19I3P1I1P1I16P5I10P2I3P1I10P2D6P2M8I1M9P3D1P1D6P15D
d1a4ia1 d1sc6a1 1M17D1M14P1I1P16I15P1D22P10I1M18P4I5P3I17P3D1P1D8P1I1P4I9P3I1M9I3M1P1M2P2D1M13D
d1a4ia2 d1b0aa2 1P1D29P1D70P1D1P1D20P
d1a4ia2 d1edza2 7M65P1D3P2D24P2M2D2M17P26I
d1a4pa_ d1k8ua_ 20P2I1M1P1I18P1D5P1I1M2I2M5P2M2D1M3D1I1M18P1I1P1I3P2D1P4D
d1a4pa_ d1psra_ 1I46P2I2M40P1M3D8I
d1a4pa_ d1qlsa_ 20P2I1M1P1I68P2M
d1a4pa_ d1qx2a_ 3D1M2D2P1I12P3I1M15P1D4P1M1D2M1D1M1D1I1M31P12D
d1a4pa_ d1xk4a1 1I20P3I1M17P1D1P2D2P2M1P1D1M37P2D1P3D
d1a4pa_ d1xk4c1 1I20P3I1M24P2M1P1I30P14D
d1a4pa_ d3d10a_ 20P3I1M19P1I3P2D2M1P1I40P1D1P2D
d1a4pa_ d3nxaa_ 2I20P2I1P2I24P6M6P1D2P1D2P2I23P3M1I2M1D2I
d1a5ta1 d1jr3a1 1D1P2D2P1I8P1D1P2M4P1M1I1P2I3P3M2I1M19P1I1P4I1P2M1P1I1P2I31P2D1P1M21P2M3D4I
d1a5ta1 d1jr3d1 3D1M10P2D3P4M1P1I1M2P2M1P2I1M20P15I1P1M3P1I33P1I3P1D11P1D1P3M2P2D2P1M1D
d1a5ta1 d1sxjb1 5D2P1D1M5P1M2P1D3P3I6P1I3P2I1P1M14P1D1P15D3P1D24P1M2D17P2D1P3D
d1a5ta1 d1sxje1 1D1M19P2I1M1P1I7P2I1P3I1M14P1D1P15D3P1D20P1D2P1D20P6D
d1a5ta2 d1l8qa2 5I2P3I4P1M2I1M1P1I11P2I4P1D25P7D1P5D1P1M9D6P1I2P3D2M1P1M2P2M5I1M1I7P2D1P4D1M11P2I14P1I14P2I2P1M1I3P1I5P3I8P1D12P4I1M5I1P1M8P6D8P1M1P5I
d1a5ta2 d1njfa_ 3I1P2I2P4I1M3P1M1P1I44P1M15P1M11P2M1D1P1M1D1M1P2M5P1M4P1D4P1M69P2M1I1M6I2M1I1M1P2M2P1M3P2D1P1D9P2M1P20I
d1a5ta2 d1sxje2 2I1P2I2P5I1M2P2M12P3M27P7D1P6D1P2D3P2I2M1P1M7P4D1P1D1M16P1M2D72P1M6I6M6P1M11P1M1I1P15I1M
d1a5ta2 d2gnoa2 8D11P1D2P2M10P1M13P1D1P6D2P6D1P2D1P3D10P1D1P1D17P1D2P1M1P1M1I61P2D1P1M10P2M1D1P1M1D1M1P1M2D1M1D1M1P1M1P2M1P1M1D1I1M7I1M3I1M17I
d1a62a1 d1e7la1 8I3P1D42P1M
d1a62a1 d1gjja2 4D24P1M2I14P1D1P1D1P
d1a62a1 d1jeqa1 6I1P2I1P1M1I23P1D1P1D15P3D
d1a62a1 d1y02a1 24P1D4P1I13P2D2P1D
d1a62a1 d1zrja1 1D1P2D20P1D1P1D15P5D
d1a62a1 d2hjqa1 7I22P1D6P1I17P1M
d1a62a1 d2odci1 3D24P2M2I16P1D1P1I
d1a6ca1 d1pgl21 5D19I1M24P1M10P1M40P1M1P1D1P1M1P2D1M17P1D3P1D8P1D1P1M1P1M6P3M12P1M17P3M1D1M3D1I3M1I
d1a6ca1 d1pgl22 7D9I12P1D3P1D3P1M7P2M2P6I1M24P5M11P2M3P2D1P3D1M1D1M13P2M4P1D5P1D12P1M6I2M12P1M17P1M1I4P1M5D12I
d1a6ca2 d1pgl22 2D1P2D1M21P1I8P1D10P1M44P1I2P1M2P1M3P1D9P5I7P1M1I1P1M1D1M7P1M7I1P1I15P2D18P1D1M4P10I
d1a6ca3 d1ny711 2D7I1M12P2M1D1I1M1D1M8P1M1D7P3I1P1I33P1I17P1I3P1M2P1I7P2I1M9P1M1P4I4P2D2P1M2I1M2P1M7P1D3P1D4P1D9P1I7P2M3P10I
d1a6ca3 d1pgl11 1D2I1M2P1I11P2I4M14P1D5P4I33P2I16P1M1I3P1I10P2I1M9P1M1P4I4P2D3P2I1M10P1D3P1D5P1D8P1I6P3M3P5I
d1a6ja_ d3bjva_ 1M7P1I1M27P2M2P1D10P1I4P1I15P2M19P2D13P2D7P1I30P1D2P2M8I
d1a6ja_ d3lf6a_ 1P1I1P2M9P1D3P1I19P3M1P1D19P3I10P2M1P1D17P3I1P1I14P2D28P1D11P1M1I1M
d1a6ja_ d3urra_ 2I70P1D77P1M1D2I
d1a6qa1 d2dofa1 1D1I1M23P1M1I16P1I3P4D1P1M1D15P2I1M5I
d1a6qa2 d1txoa_ 18D13P1I12P9D10P4I14P4M3D2M4D2P3D22P1D6P1I42P1M2P1M1D1I2M10D11I1M1P1M4D1M7P1D1P2D1P6D1P6D12P2D25P1D2P3D1P1D29P1M3D
d1a6qa2 d2j82a_ 20D10P1I14P5D1M1D1M9P1I17P1M1P2M1D1M1P1M3D1M1P3D22P1D5P1I12P1I1P1I22P1M10P2D1M12D2P5D7P1D1P2D1P6D2P4D1P1D11P2D25P1D2P3D1P1D28P5D
d1a6qa2 d2jfra_ 17D2I2M12P1I12P9D10P1I1P1I15P1M1P1M2D1M6D1M4D1P1D18P1M2D4M14P3I20P2M7P1M1I1P4M11D11I1M1P1M4D1M9P2D1M6D1P6D12P2D15P4M6P1D2P3D1P1D29P4D
d1a6qa2 d2pk0a_ 17D2I2M11P1I12P1D3P2D2P1D11P4I13P6M3D1M3D1M4P1D20P2M2D5P1I45P4M10D11I3M4D1M7P1D1P2D1P6D2P5D11P2D27P2D1P1D2P1D30P3D
d1rqja_ d1rtra_ 2M2D1M18P1D1M2P2M101P2D66P1D1P2M27P2M16D3I30P1D18P1M2D
d1rqja_ d1v4ea_ 5D1P1D3M13P1D1P2M4P1D2P1M2D2P1D1P1D23P1I22P2D39P6D1P2D13P2D47P2D1P2D26P2M7D6I2M2P2M9P28I20P1M8D1P2D3P3D1P6D
d1rqja_ d2q80a1 25D2P2M10P1D6P1I40P2D39P1M6D1P2D13P2D13P2I32P2D2P1D2P1D1P1D23P6D18P36I24P4D1M14P1M1D1I
